final_theme,count,percent
Amanita poisoning and amatoxin intoxication,505,27.03
Other mushroom-poisoning research themes,459,24.57
Amatoxin-induced hepatotoxicity and liver failure,395,21.15
Clinical poisoning management and supportive care,170,9.1
"Epidemiology, outbreaks, and surveillance",108,5.78
Poisonous mushroom identification and taxonomy,81,4.34
AI-assisted mushroom identification and computational classification,68,3.64
Renal and extrahepatic toxicity,56,3.0
Therapeutic strategies and antidotal interventions,26,1.39
