country,count
United States,247
China,215
Germany,104
Japan,81
Turkey,65
France,49
South Korea,44
Italy,42
Canada,40
Switzerland,39
United Kingdom,38
Poland,26
India,22
Portugal,21
Spain,15
Australia,15
Brazil,13
Czech Republic,13
Iran,13
Netherlands,12
Greece,10
Mexico,7
Sweden,7
Russia,5
Norway,4
