term,count,percent
Amanitin,686,25.53
Amatoxin,240,8.93
Amanita phalloides,198,7.37
Lepiota,43,1.6
Galerina,31,1.15
Muscarine,28,1.04
Cortinarius,25,0.93
Amanita muscaria,24,0.89
Ibotenic acid,24,0.89
Muscimol,21,0.78
Amanita virosa,18,0.67
Orellanine,18,0.67
Inocybe,14,0.52
Gyromitra,10,0.37
Psilocybe,7,0.26
